Quartile,Target,Other_Score,Correlation
Top 25% – Q1,AR SCORE,ER SCORE,0.7568999587161527
Top 25% – Q1,AR SCORE,FSR SCORE,0.2368531445267952
Top 25% – Q1,AR SCORE,CPF SCORE,0.07125369547331127
Top 25% – Q1,AR SCORE,IFR SCORE,0.027976007206914424
Top 25% – Q1,AR SCORE,ISR SCORE,0.17952259144029198
Top 25% – Q1,AR SCORE,ISD SCORE,0.1440365574515363
Top 25% – Q1,AR SCORE,IRN SCORE,0.3842988681797304
Top 25% – Q1,AR SCORE,EO SCORE,0.5540372176180038
Top 25% – Q1,AR SCORE,SUS SCORE,0.45629579986806595
Top 25% – Q1,AR SCORE,Overall SCORE,0.8594306528392011
Top 25% – Q1,FSR SCORE,AR SCORE,0.2368531445267952
Top 25% – Q1,FSR SCORE,ER SCORE,0.21540520452166434
Top 25% – Q1,FSR SCORE,CPF SCORE,-0.1279447914653058
Top 25% – Q1,FSR SCORE,IFR SCORE,0.0768623359477825
Top 25% – Q1,FSR SCORE,ISR SCORE,0.14821534466988415
Top 25% – Q1,FSR SCORE,ISD SCORE,0.1411097384433187
Top 25% – Q1,FSR SCORE,IRN SCORE,-0.07137595836607924
Top 25% – Q1,FSR SCORE,EO SCORE,0.11375302996638281
Top 25% – Q1,FSR SCORE,SUS SCORE,-0.02675979905884986
Top 25% – Q1,FSR SCORE,Overall SCORE,0.35080726035333054
Top 25% – Q1,ER SCORE,AR SCORE,0.7568999587161527
Top 25% – Q1,ER SCORE,FSR SCORE,0.21540520452166434
Top 25% – Q1,ER SCORE,CPF SCORE,-0.01369709532978157
Top 25% – Q1,ER SCORE,IFR SCORE,-0.08468315803264301
Top 25% – Q1,ER SCORE,ISR SCORE,0.141901131036509
Top 25% – Q1,ER SCORE,ISD SCORE,0.12387106268881067
Top 25% – Q1,ER SCORE,IRN SCORE,0.06773172080337239
Top 25% – Q1,ER SCORE,EO SCORE,0.46530630706928094
Top 25% – Q1,ER SCORE,SUS SCORE,0.26144722298665196
Top 25% – Q1,ER SCORE,Overall SCORE,0.718359352517866
Top 25% – Q1,EO SCORE,AR SCORE,0.5540372176180038
Top 25% – Q1,EO SCORE,ER SCORE,0.46530630706928094
Top 25% – Q1,EO SCORE,FSR SCORE,0.11375302996638281
Top 25% – Q1,EO SCORE,CPF SCORE,-0.07216235177663848
Top 25% – Q1,EO SCORE,IFR SCORE,0.06358018499141987
Top 25% – Q1,EO SCORE,ISR SCORE,0.09912050249995227
Top 25% – Q1,EO SCORE,ISD SCORE,0.07124555280091434
Top 25% – Q1,EO SCORE,IRN SCORE,0.31634839320989805
Top 25% – Q1,EO SCORE,SUS SCORE,0.33773040871422844
Top 25% – Q1,EO SCORE,Overall SCORE,0.5219411451080779
Top 25% – Q1,SUS SCORE,AR SCORE,0.45629579986806595
Top 25% – Q1,SUS SCORE,ER SCORE,0.26144722298665196
Top 25% – Q1,SUS SCORE,FSR SCORE,-0.02675979905884986
Top 25% – Q1,SUS SCORE,CPF SCORE,0.14303017813065963
Top 25% – Q1,SUS SCORE,IFR SCORE,0.362292504686577
Top 25% – Q1,SUS SCORE,ISR SCORE,0.38298615003554476
Top 25% – Q1,SUS SCORE,ISD SCORE,0.41239273476406213
Top 25% – Q1,SUS SCORE,IRN SCORE,0.5092033036136161
Top 25% – Q1,SUS SCORE,EO SCORE,0.33773040871422844
Top 25% – Q1,SUS SCORE,Overall SCORE,0.5172309423693308
25–50% – Q2,AR SCORE,ER SCORE,0.37204090659424605
25–50% – Q2,AR SCORE,FSR SCORE,-0.058947106437972366
25–50% – Q2,AR SCORE,CPF SCORE,-0.43770391362135597
25–50% – Q2,AR SCORE,IFR SCORE,-0.20856978871978166
25–50% – Q2,AR SCORE,ISR SCORE,-0.2284858946063435
25–50% – Q2,AR SCORE,ISD SCORE,-0.22226046193322416
25–50% – Q2,AR SCORE,IRN SCORE,0.2155230920992959
25–50% – Q2,AR SCORE,EO SCORE,0.24528505686182273
25–50% – Q2,AR SCORE,SUS SCORE,0.3111346470059845
25–50% – Q2,AR SCORE,Overall SCORE,0.3190759094729121
25–50% – Q2,FSR SCORE,AR SCORE,-0.058947106437972366
25–50% – Q2,FSR SCORE,ER SCORE,0.008758232320718049
25–50% – Q2,FSR SCORE,CPF SCORE,-0.43318758891434256
25–50% – Q2,FSR SCORE,IFR SCORE,0.007527521999732332
25–50% – Q2,FSR SCORE,ISR SCORE,0.12802507669454127
25–50% – Q2,FSR SCORE,ISD SCORE,0.11814411750655748
25–50% – Q2,FSR SCORE,IRN SCORE,-0.28488276578828586
25–50% – Q2,FSR SCORE,EO SCORE,-0.06335810690624005
25–50% – Q2,FSR SCORE,SUS SCORE,-0.29385462142929714
25–50% – Q2,FSR SCORE,Overall SCORE,-0.0628330414428682
25–50% – Q2,ER SCORE,AR SCORE,0.37204090659424605
25–50% – Q2,ER SCORE,FSR SCORE,0.008758232320718049
25–50% – Q2,ER SCORE,CPF SCORE,-0.4487395446259737
25–50% – Q2,ER SCORE,IFR SCORE,-0.10981899361866262
25–50% – Q2,ER SCORE,ISR SCORE,-0.17103973006897974
25–50% – Q2,ER SCORE,ISD SCORE,-0.15131008585417097
25–50% – Q2,ER SCORE,IRN SCORE,-0.29764721013793394
25–50% – Q2,ER SCORE,EO SCORE,0.32061208692213133
25–50% – Q2,ER SCORE,SUS SCORE,-0.04847023250280053
25–50% – Q2,ER SCORE,Overall SCORE,0.14377805377386474
25–50% – Q2,EO SCORE,AR SCORE,0.24528505686182273
25–50% – Q2,EO SCORE,ER SCORE,0.32061208692213133
25–50% – Q2,EO SCORE,FSR SCORE,-0.06335810690624005
25–50% – Q2,EO SCORE,CPF SCORE,-0.33890231146188166
25–50% – Q2,EO SCORE,IFR SCORE,-0.1694575931429121
25–50% – Q2,EO SCORE,ISR SCORE,-0.18147834549899244
25–50% – Q2,EO SCORE,ISD SCORE,-0.16682970272783662
25–50% – Q2,EO SCORE,IRN SCORE,-0.05973352042297993
25–50% – Q2,EO SCORE,SUS SCORE,0.04775797225611271
25–50% – Q2,EO SCORE,Overall SCORE,0.042493805557908715
25–50% – Q2,SUS SCORE,AR SCORE,0.3111346470059845
25–50% – Q2,SUS SCORE,ER SCORE,-0.04847023250280053
25–50% – Q2,SUS SCORE,FSR SCORE,-0.29385462142929714
25–50% – Q2,SUS SCORE,CPF SCORE,-0.037675795130618986
25–50% – Q2,SUS SCORE,IFR SCORE,0.0630941676978425
25–50% – Q2,SUS SCORE,ISR SCORE,0.016725434425060397
25–50% – Q2,SUS SCORE,ISD SCORE,0.07726403361662564
25–50% – Q2,SUS SCORE,IRN SCORE,0.508665991356378
25–50% – Q2,SUS SCORE,EO SCORE,0.04775797225611271
25–50% – Q2,SUS SCORE,Overall SCORE,0.31521029705819853
50–75% – Q3,AR SCORE,ER SCORE,0.48303067455663157
50–75% – Q3,AR SCORE,FSR SCORE,-0.18198264996310956
50–75% – Q3,AR SCORE,CPF SCORE,-0.37875200644472923
50–75% – Q3,AR SCORE,IFR SCORE,-0.14212924114722525
50–75% – Q3,AR SCORE,ISR SCORE,-0.25116562736161085
50–75% – Q3,AR SCORE,ISD SCORE,-0.24748381913047576
50–75% – Q3,AR SCORE,IRN SCORE,-0.017611861671157747
50–75% – Q3,AR SCORE,EO SCORE,0.18942892060983094
50–75% – Q3,AR SCORE,SUS SCORE,0.11354018314354399
50–75% – Q3,AR SCORE,Overall SCORE,
50–75% – Q3,FSR SCORE,AR SCORE,-0.18198264996310956
50–75% – Q3,FSR SCORE,ER SCORE,-0.12244322857119935
50–75% – Q3,FSR SCORE,CPF SCORE,-0.3217515832124575
50–75% – Q3,FSR SCORE,IFR SCORE,-0.20975998535952048
50–75% – Q3,FSR SCORE,ISR SCORE,-0.04609380568368988
50–75% – Q3,FSR SCORE,ISD SCORE,-0.05443892063714067
50–75% – Q3,FSR SCORE,IRN SCORE,-0.3239859280061201
50–75% – Q3,FSR SCORE,EO SCORE,-0.1525676363746531
50–75% – Q3,FSR SCORE,SUS SCORE,-0.22204875072430652
50–75% – Q3,FSR SCORE,Overall SCORE,
50–75% – Q3,ER SCORE,AR SCORE,0.48303067455663157
50–75% – Q3,ER SCORE,FSR SCORE,-0.12244322857119935
50–75% – Q3,ER SCORE,CPF SCORE,-0.40558786985126516
50–75% – Q3,ER SCORE,IFR SCORE,-0.10950295928825345
50–75% – Q3,ER SCORE,ISR SCORE,-0.12339172351728893
50–75% – Q3,ER SCORE,ISD SCORE,-0.11816737668119726
50–75% – Q3,ER SCORE,IRN SCORE,-0.29376688975470977
50–75% – Q3,ER SCORE,EO SCORE,0.2587622915714202
50–75% – Q3,ER SCORE,SUS SCORE,-0.03913076402118172
50–75% – Q3,ER SCORE,Overall SCORE,
50–75% – Q3,EO SCORE,AR SCORE,0.18942892060983094
50–75% – Q3,EO SCORE,ER SCORE,0.2587622915714202
50–75% – Q3,EO SCORE,FSR SCORE,-0.1525676363746531
50–75% – Q3,EO SCORE,CPF SCORE,-0.2205035127934532
50–75% – Q3,EO SCORE,IFR SCORE,0.01710049079047674
50–75% – Q3,EO SCORE,ISR SCORE,-0.10581966365134216
50–75% – Q3,EO SCORE,ISD SCORE,-0.11196673867926399
50–75% – Q3,EO SCORE,IRN SCORE,-0.050425819969235806
50–75% – Q3,EO SCORE,SUS SCORE,-0.05928812965089687
50–75% – Q3,EO SCORE,Overall SCORE,
50–75% – Q3,SUS SCORE,AR SCORE,0.11354018314354399
50–75% – Q3,SUS SCORE,ER SCORE,-0.03913076402118172
50–75% – Q3,SUS SCORE,FSR SCORE,-0.22204875072430652
50–75% – Q3,SUS SCORE,CPF SCORE,0.12980003326252346
50–75% – Q3,SUS SCORE,IFR SCORE,-0.16960354562209323
50–75% – Q3,SUS SCORE,ISR SCORE,-0.10445263581366572
50–75% – Q3,SUS SCORE,ISD SCORE,-0.06614503261296874
50–75% – Q3,SUS SCORE,IRN SCORE,0.5235612354412824
50–75% – Q3,SUS SCORE,EO SCORE,-0.05928812965089687
50–75% – Q3,SUS SCORE,Overall SCORE,
Bottom 25% – Q4,AR SCORE,ER SCORE,0.23075911233164778
Bottom 25% – Q4,AR SCORE,FSR SCORE,-0.21648302172633996
Bottom 25% – Q4,AR SCORE,CPF SCORE,-0.21274024700058386
Bottom 25% – Q4,AR SCORE,IFR SCORE,-0.04260222587820328
Bottom 25% – Q4,AR SCORE,ISR SCORE,-0.24851352345468578
Bottom 25% – Q4,AR SCORE,ISD SCORE,-0.2504197660545905
Bottom 25% – Q4,AR SCORE,IRN SCORE,-0.004948311235493032
Bottom 25% – Q4,AR SCORE,EO SCORE,0.014002383998462558
Bottom 25% – Q4,AR SCORE,SUS SCORE,0.16633906353607994
Bottom 25% – Q4,AR SCORE,Overall SCORE,
Bottom 25% – Q4,FSR SCORE,AR SCORE,-0.21648302172633996
Bottom 25% – Q4,FSR SCORE,ER SCORE,-0.05831154947880443
Bottom 25% – Q4,FSR SCORE,CPF SCORE,-0.22338331446013235
Bottom 25% – Q4,FSR SCORE,IFR SCORE,-0.1208644599928482
Bottom 25% – Q4,FSR SCORE,ISR SCORE,-0.0318366215079424
Bottom 25% – Q4,FSR SCORE,ISD SCORE,-0.03469366357451554
Bottom 25% – Q4,FSR SCORE,IRN SCORE,-0.2972453961963414
Bottom 25% – Q4,FSR SCORE,EO SCORE,-0.08607682133269151
Bottom 25% – Q4,FSR SCORE,SUS SCORE,-0.2407948056196053
Bottom 25% – Q4,FSR SCORE,Overall SCORE,
Bottom 25% – Q4,ER SCORE,AR SCORE,0.23075911233164778
Bottom 25% – Q4,ER SCORE,FSR SCORE,-0.05831154947880443
Bottom 25% – Q4,ER SCORE,CPF SCORE,-0.25887312477966934
Bottom 25% – Q4,ER SCORE,IFR SCORE,-0.10829625211361668
Bottom 25% – Q4,ER SCORE,ISR SCORE,-0.16499176285614697
Bottom 25% – Q4,ER SCORE,ISD SCORE,-0.15685815166991635
Bottom 25% – Q4,ER SCORE,IRN SCORE,-0.2176247926841225
Bottom 25% – Q4,ER SCORE,EO SCORE,0.1524979830686187
Bottom 25% – Q4,ER SCORE,SUS SCORE,-0.09099904641559467
Bottom 25% – Q4,ER SCORE,Overall SCORE,
Bottom 25% – Q4,EO SCORE,AR SCORE,0.014002383998462558
Bottom 25% – Q4,EO SCORE,ER SCORE,0.1524979830686187
Bottom 25% – Q4,EO SCORE,FSR SCORE,-0.08607682133269151
Bottom 25% – Q4,EO SCORE,CPF SCORE,-0.13926076290593195
Bottom 25% – Q4,EO SCORE,IFR SCORE,-0.1614099849514751
Bottom 25% – Q4,EO SCORE,ISR SCORE,-0.13719412467622913
Bottom 25% – Q4,EO SCORE,ISD SCORE,-0.1435399874017047
Bottom 25% – Q4,EO SCORE,IRN SCORE,0.0779157437837447
Bottom 25% – Q4,EO SCORE,SUS SCORE,0.01607564661774299
Bottom 25% – Q4,EO SCORE,Overall SCORE,
Bottom 25% – Q4,SUS SCORE,AR SCORE,0.16633906353607994
Bottom 25% – Q4,SUS SCORE,ER SCORE,-0.09099904641559467
Bottom 25% – Q4,SUS SCORE,FSR SCORE,-0.2407948056196053
Bottom 25% – Q4,SUS SCORE,CPF SCORE,0.28911821430195733
Bottom 25% – Q4,SUS SCORE,IFR SCORE,-0.1375202956879168
Bottom 25% – Q4,SUS SCORE,ISR SCORE,-0.14646906283052302
Bottom 25% – Q4,SUS SCORE,ISD SCORE,-0.08795207525452936
Bottom 25% – Q4,SUS SCORE,IRN SCORE,0.5018070805866921
Bottom 25% – Q4,SUS SCORE,EO SCORE,0.01607564661774299
Bottom 25% – Q4,SUS SCORE,Overall SCORE,
